closest_center,n_fixations,percentage,polygon_case,total_fixations
icc,73,61.86440677966102,allfar_concave,118
bbc,37,31.35593220338983,allfar_concave,118
com,8,6.779661016949152,allfar_concave,118
com,85,72.03389830508475,allfar_convex,118
icc,33,27.966101694915253,allfar_convex,118
chc,79,67.52136752136752,allfar_intermediate,117
com,38,32.47863247863248,allfar_intermediate,117
com,119,100.0,baseline_asymmetric,119
com,116,100.0,baseline_rectangle,116
com,120,100.0,baseline_symmetric,120
icc,164,46.06741573033708,iso_bbc,356
bbc,111,31.179775280898873,iso_bbc,356
chc,81,22.752808988764045,iso_bbc,356
chc,151,42.77620396600567,iso_chc,353
icc,116,32.86118980169972,iso_chc,353
com,86,24.362606232294617,iso_chc,353
com,160,45.07042253521127,iso_com,355
icc,110,30.985915492957744,iso_com,355
bbc,84,23.661971830985916,iso_com,355
chc,1,0.28169014084507044,iso_com,355
com,166,46.49859943977591,iso_icc,357
icc,80,22.408963585434176,iso_icc,357
chc,75,21.008403361344538,iso_icc,357
bbc,36,10.084033613445378,iso_icc,357
com,162,46.15384615384615,pair_C1_bbc_vs_chc_icc,351
bbc,79,22.507122507122507,pair_C1_bbc_vs_chc_icc,351
icc,72,20.51282051282051,pair_C1_bbc_vs_chc_icc,351
chc,38,10.826210826210826,pair_C1_bbc_vs_chc_icc,351
com,162,45.63380281690141,pair_C2_chc_vs_bbc_icc,355
chc,85,23.943661971830984,pair_C2_chc_vs_bbc_icc,355
icc,72,20.281690140845072,pair_C2_chc_vs_bbc_icc,355
bbc,36,10.140845070422536,pair_C2_chc_vs_bbc_icc,355
icc,204,57.79036827195468,pair_C3_icc_vs_chc_bbc,353
com,78,22.096317280453256,pair_C3_icc_vs_chc_bbc,353
chc,37,10.48158640226629,pair_C3_icc_vs_chc_bbc,353
bbc,34,9.631728045325778,pair_C3_icc_vs_chc_bbc,353
