calibration_error_mean,calibration_error_std,completion_rate,fixation_success_rate,memory_accuracy,n_fixation_failed,n_fixation_success,n_trials_aborted,n_trials_completed,n_trials_total,participant_id,validation_error_mean,validation_error_std,validation_max_error_mean,validation_max_error_std
,,1.0,1.0,0.2222222222222222,0,351,0,351,351,P03,,,,
,,1.0,1.0,0.6666666666666666,0,351,0,351,351,P04,,,,
,,0.9680851063829787,0.9680851063829787,0.14285714285714285,9,273,9,273,282,P05,,,,
,,1.0,1.0,0.3333333333333333,0,117,0,117,117,P06,,,,
,,1.0,1.0,0.6666666666666666,0,351,0,351,351,P07,,,,
,,1.0,1.0,0.5555555555555556,0,351,0,351,351,P08,,,,
,,1.0,1.0,0.8888888888888888,0,351,0,351,351,P09,,,,
,,1.0,1.0,0.3333333333333333,0,351,0,351,351,P10,,,,
,,1.0,1.0,0.6666666666666666,0,351,0,351,351,P11,,,,
,,1.0,1.0,0.7777777777777778,0,351,0,351,351,P12,,,,
