polygon_id,polygon_case,json_filename,center_com_x_canonical_px,center_com_y_canonical_px,center_bbc_x_canonical_px,center_bbc_y_canonical_px,center_chc_x_canonical_px,center_chc_y_canonical_px,center_icc_x_canonical_px,center_icc_y_canonical_px
allfar_concave_01,allfar_concave,allfar_concave.json,3.564994664951894e-14,-22.705335399388286,12.712227090606056,-36.14513216666046,5.744606521031035,-29.553184949795035,-9.65150097369165,-2.5747465801204426
allfar_convex_01,allfar_convex,allfar_convex.json,9.449340025465109,29.252453877583612,0.1266121116697434,44.64680221235987,9.44934002546511,29.252453877583616,33.42582041957986,8.690514219648694
allfar_intermediate_01,allfar_intermediate,allfar_intermediate.json,-21.17283841425084,36.42025743046405,-27.5025060924543,9.959843713547144,-20.437996851353564,20.413206899471252,-69.14504667574133,61.436785024990506
baseline_rect_01,baseline_rectangle,baseline_rectangle.json,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
baseline_sym_01,baseline_symmetric,baseline_symmetric_consolidated.json,,,,,,,,
baseline_asym_01,baseline_asymmetric,baseline_asymmetric_consolidated.json,,,,,,,,
iso_com_01,iso_com,iso_com_01.json,-2.8328719000819276,1.6020060724163852,-9.97923232940017,10.440887924788942,-10.565992010795703,5.977868819967607,5.31677622182244,-1.9580968047703013
iso_com_02,iso_com,iso_com_02.json,-2.780556727909228,1.1181582936084669,-10.525673369023254,9.229647166868158,-10.660864474920942,5.637987815582828,5.80900668149663,-1.8633870259210485
iso_com_03,iso_com,iso_com_03.json,0.8618630466662558,1.194757695641489,-5.704441300107716,-7.793703552118704,-7.381743187663131,-2.1667238838279785,10.323024563361189,5.945152457473633
iso_chc_01,iso_chc,iso_chc_01.json,-2.82839785351378,0.35146783005519094,-3.3078434728415402,0.842322753004721,6.638151299529036,0.4827842046728172,-3.990125005708701,0.28999960735035335
iso_chc_02,iso_chc,iso_chc_02.json,-4.352953624276132,-1.8957330297658703,-4.69996071920918,4.1426953965149975,4.604941293437354,-0.3874191423476838,-9.866440838494894,-4.664567824881086
iso_chc_03,iso_chc,iso_chc_03.json,3.45091581916641,-1.9349282366192653,3.6229342154552544,-4.265507806437476,-5.62072264284325,-2.8438787863009996,8.51341310768569,-2.9840454229118554
iso_bbc_01,iso_bbc,iso_bbc_01.json,1.5177848963150862,2.6607128034076495,11.49046656450208,11.820848758035602,3.810291061312955,1.2121903090746216,-0.2177734815004636,-0.5715381166842219
iso_bbc_02,iso_bbc,iso_bbc_02.json,3.295766361980347,-1.0200347045931797,12.244560749788448,-10.269518354496954,2.5579157052250876,-1.7838547851440936,-0.837897159978732,0.7048317857599214
iso_bbc_03,iso_bbc,iso_bbc_03.json,1.5298378225904896,-2.907097281377041,11.27423043690938,-11.266782178813376,1.0103095838129834,-3.754951435597479,-0.04342111523595329,0.005764152931512081
iso_icc_01,iso_icc,iso_icc_01.json,0.35442243179533106,-0.3385459998089129,1.079174554477568,0.5361628050964917,0.4447276310828971,-0.09903671316739414,13.090010135234094,-10.153092161596208
iso_icc_02,iso_icc,iso_icc_02.json,4.00715706685562,-1.4899183023698719,5.0271322105183724,-1.595411398243435,4.1357498446071315,-2.398490544118629,-8.188124555866917,8.073785830203837
iso_icc_03,iso_icc,iso_icc_03.json,0.2819899814639254,-0.13497105379831925,1.140436215472704,0.8861680124332931,0.19460853557064905,0.1201728367021288,13.974663878489064,-10.7736858774966
pair_C1_01,pair_C1_bbc_vs_chc_icc,pair_com_bbc_vs_chc_icc_01.json,-0.9094187387151123,-7.0739842551358745,0.2138979062257249,-7.472364443778485,-0.7944955144831684,0.13961400320509165,-0.2356042985263364,0.10923940970628276
pair_C1_02,pair_C1_bbc_vs_chc_icc,pair_com_bbc_vs_chc_icc_02.json,-0.7649034207627334,-6.307935712656036,0.18265212303718315,-6.825078376180674,-0.7067201034580328,0.6615334477832195,-0.24984609840780972,0.6427242474362038
pair_C1_03,pair_C1_bbc_vs_chc_icc,pair_com_bbc_vs_chc_icc_03.json,-0.7549096466883398,-9.564107193200899,-1.526641054280418,-9.50860162056616,-0.948952368975245,0.46865872493083627,-1.748674478733702,0.482902479831614
pair_C2_01,pair_C2_chc_vs_bbc_icc,pair_com_chc_vs_bbc_icc_01.json,-0.378918037843763,-0.9832606868666512,-0.12776184263568702,7.08844595323381,-0.07139452621072828,-0.9869720251295074,-0.24631220633839412,7.112156025974354
pair_C2_02,pair_C2_chc_vs_bbc_icc,pair_com_chc_vs_bbc_icc_02.json,0.3234490753741416,2.743823894088192,2.2233880446819034,11.812037235029564,1.1938212447848102,2.604311122870014,2.9591326005728487,11.72374788832265
pair_C2_03,pair_C2_chc_vs_bbc_icc,pair_com_chc_vs_bbc_icc_03.json,1.2243261809433132,1.5859276574499233,1.8122179174909228,10.646008480483243,1.0393202982468277,1.6314591732372177,2.4160260330535097,10.591116833613917
pair_C3_01,pair_C3_icc_vs_chc_bbc,pair_com_icc_vs_chc_bbc_01.json,-0.2479919347278333,0.200480474503955,6.0436377022842205,7.295939496773899,5.292115371392643,6.416485559275585,-0.2190427645437532,-0.8630107528386404
pair_C3_02,pair_C3_icc_vs_chc_bbc,pair_com_icc_vs_chc_bbc_02.json,0.9521349942626214,0.24120506556842483,-4.132891817066914,5.906761618134926,-4.653654294605917,5.344472669469618,1.7633292374025846,-0.637395815946606
pair_C3_03,pair_C3_icc_vs_chc_bbc,pair_com_icc_vs_chc_bbc_03.json,-1.8242276367009442,-1.5876974200307132,9.335826361727197,9.521142024217967,9.425001913285959,9.430818640962755,-1.6348709079215442,-2.3075986073027424
