cue_fix_distance_px,n_cue_fixations,n_stim_fixations,trial_uid
18.384776310850235,4,17,A_MB01_T001
14.142135623730951,10,13,A_MB01_T002
112.61438629233834,2,18,A_MB01_T003
58.05170109479997,9,16,A_MB01_T004
45.5411901469428,8,13,A_MB01_T005
36.013886210738214,2,12,A_MB01_T006
148.49915824677257,3,11,A_MB01_T007
44.10215414239989,5,14,A_MB01_T008
95.88013350011565,8,14,A_MB01_T009
282.44822534404426,6,13,A_MB01_T010
334.0538878684096,4,14,A_MB01_T011
89.55445270895244,6,9,A_MB01_T012
30.528675044947494,6,9,A_MB01_T013
60.207972893961475,3,19,A_MB01_T014
94.04786015641186,4,17,A_MB01_T015
83.5224520712844,5,0,A_MB01_T016
96.17692030835673,3,0,A_MB01_T017
111.28791488746656,26,14,A_MB01_T018
79.71198153351854,271,12,A_MB01_T019
63.56099432828282,37,18,A_MB01_T020
715.9497189048963,2,14,A_MB01_T021
38.897300677553446,9,13,A_MB01_T022
,0,13,A_MB01_T023
64.03124237432849,6,14,A_MB01_T024
80.05623023850174,3,0,A_MB01_T025
144.9310180741169,5,15,A_MB01_T026
84.77027781009096,36,0,A_MB01_T027
81.83520025025906,26,18,A_MB01_T028
57.3149195236284,8,26,A_MB01_T029
13.45362404707371,7,18,A_MB01_T030
36.359317925395686,4,17,A_MB01_T031
82.87339742040264,2,0,A_MB01_T032
63.198101237299845,3,15,A_MB01_T033
158.14234094637652,5,18,A_MB01_T034
141.65097952361643,3,14,A_MB01_T035
58.89821729050889,13,15,A_MB01_T036
97.98469268207153,6,18,A_MB01_T037
52.20153254455275,4,15,A_MB01_T038
55.47071299343465,6,16,A_MB01_T039
46.17358552246078,4,9,A_MB02_T040
32.01562118716424,11,0,A_MB02_T041
117.957619508025,3,15,A_MB02_T042
23.706539182259394,4,5,A_MB02_T043
39.0,2,18,A_MB02_T044
71.00704190430693,5,13,A_MB02_T045
45.17742799230607,8,24,A_MB02_T046
31.89043743820395,7,14,A_MB02_T047
98.41239759298622,7,15,A_MB02_T048
62.03224967708329,4,12,A_MB02_T049
90.69729874698585,1,16,A_MB02_T050
91.02197536858887,4,0,A_MB02_T051
78.44743462982075,3,17,A_MB02_T052
70.2922470831599,4,16,A_MB02_T053
75.82216034906945,3,0,A_MB02_T054
67.23094525588644,4,15,A_MB02_T055
13.0,7,2,A_MB02_T056
64.8459713474939,3,13,A_MB02_T057
61.85466837676846,4,20,A_MB02_T058
28.071337695236398,5,18,A_MB02_T059
40.718546143004666,4,15,A_MB02_T060
52.009614495783374,5,16,A_MB02_T061
81.34494452638098,4,14,A_MB02_T062
11.661903789690601,4,15,A_MB02_T063
55.46169849544819,5,2,A_MB02_T064
70.2922470831599,4,16,A_MB02_T065
89.55445270895244,6,0,A_MB02_T066
80.52949770115296,6,0,A_MB02_T067
46.75467891024384,7,9,A_MB02_T068
154.02921800749363,33,10,A_MB02_T069
63.7808748764079,5,7,A_MB02_T070
66.03029607687671,3,13,A_MB02_T071
101.87246929372037,13,0,A_MB02_T072
67.05221845696084,4,0,A_MB02_T073
111.36426715962351,5,15,A_MB02_T074
87.32124598286491,14,19,A_MB02_T075
60.166435825965294,5,9,A_MB02_T076
64.53681120105021,3,6,A_MB02_T077
84.77027781009096,1,6,A_MB02_T078
,0,0,A_MB03_T079
,0,0,A_MB03_T080
,0,0,A_MB03_T081
,0,0,A_MB03_T082
,0,0,A_MB03_T083
,0,0,A_MB03_T084
